"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"277",13,"Joe Flacco",CLE,"QB32","9","2 out of 5 stars","+12"
"278",13,"Jaxson Dart",NYG,"QB33","14","1 out of 5 stars","-27"
"279",13,"Noah Brown",WAS,"WR97","12","3 out of 5 stars","+169"
"280",13,"Jalen Royals",KC,"WR98","10","3 out of 5 stars","-35"
"281",13,"Roman Wilson",PIT,"WR99","5","4 out of 5 stars","+7"
"282",13,"Ollie Gordon II",MIA,"RB79","12","4 out of 5 stars","-11"
"283",13,"Brandin Cooks",NO,"WR100","11","4 out of 5 stars","+132"
"284",13,"Chicago Bears",CHI,"DST20","5","2 out of 5 stars","-79"
"285",13,"Kayshon Boutte",NE,"WR101","14","3 out of 5 stars","+15"
"286",13,"Nick Westbrook-Ikhine",MIA,"WR102","12","3 out of 5 stars","+145"
"287",13,"Daniel Jones",IND,"QB34","11","3 out of 5 stars","+39"
"288",13,"Isaiah Davis",NYJ,"RB80","9","5 out of 5 stars","+435"
"289",13,"Trevor Etienne",CAR,"RB81","14","3 out of 5 stars","-25"
"290",13,"Jake Moody",SF,"K18","14","5 out of 5 stars","-57"
"291",13,"Devin Singletary",NYG,"RB82","14","3 out of 5 stars","+95"
"292",13,"Parker Washington",JAC,"WR103","8","4 out of 5 stars","+207"
"293",13,"Cole Kmet",CHI,"TE36","5","4 out of 5 stars","-39"
"294",13,"Malik Washington",MIA,"WR104","12","3 out of 5 stars","+257"
"295",13,"Dameon Pierce",HOU,"RB83","6","2 out of 5 stars","+86"
"296",13,"Kenneth Gainwell",PIT,"RB84","5","4 out of 5 stars","+106"
"297",13,"Ben Sinnott",WAS,"TE37","12","3 out of 5 stars","+81"
"298",13,"Greg Dortch",ARI,"WR105","8","4 out of 5 stars","+169"
"299",13,"Elijah Moore",BUF,"WR106","7","3 out of 5 stars","+42"
"300",13,"Antonio Gibson",NE,"RB85","14","4 out of 5 stars","+7"
"301",13,"Audric Estime",DEN,"RB86","12","2 out of 5 stars","+43"
