"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"347",14,"Michael Mayer",LV,"TE46","8","2 out of 5 stars","-17"
"348",14,"Shedeur Sanders",CLE,"QB37","9","2 out of 5 stars","-106"
"349",14,"Matt Prater",FA,"K22","-","-","+200"
"350",14,"Spencer Rattler",NO,"QB38","11","5 out of 5 stars","+96"
"351",14,"Graham Gano",NYG,"K23","14","0 out of 5 stars","-50"
"352",14,"Savion Williams",GB,"WR122","5","2 out of 5 stars","+68"
"353",14,"Luke Musgrave",GB,"TE47","5","2 out of 5 stars","-32"
"354",14,"Luke McCaffrey",WAS,"WR123","12","3 out of 5 stars","-34"
"355",14,"Dawson Knox",BUF,"TE48","7","3 out of 5 stars","-58"
"356",14,"Blake Grupe",NO,"K24","11","5 out of 5 stars","-65"
"357",14,"Kimani Vidal",LAC,"RB101","12","2 out of 5 stars","+64"
"358",14,"Nick Folk",NYJ,"K25","9","2 out of 5 stars","+17"
"359",14,"Cairo Santos",CHI,"K26","5","1 out of 5 stars","-76"
"360",14,"Isaiah Bond",FA,"WR124","-","-","-"
"361",14,"Luke Schoonmaker",DAL,"TE49","10","2 out of 5 stars","0"
"362",14,"Tommy Tremble",CAR,"TE50","14","4 out of 5 stars","+57"
"363",14,"Kendrick Bourne",NE,"WR125","14","3 out of 5 stars","+8"
"364",15,"Tez Johnson",TB,"WR126","9","3 out of 5 stars","+40"
"365",15,"Josh Oliver",MIN,"TE51","6","3 out of 5 stars","-10"
"366",15,"Gabe Davis",FA,"WR127","-","-","-"
"367",15,"Jaylin Lane",WAS,"WR128","12","3 out of 5 stars","+71"
"368",15,"Christian Watson",GB,"WR129","5","2 out of 5 stars","-39"
"369",15,"Chimere Dike",TEN,"WR130","10","4 out of 5 stars","+168"
"370",15,"John Metchie III",HOU,"WR131","6","4 out of 5 stars","+248"
"371",15,"Ty Chandler",MIN,"RB102","6","3 out of 5 stars","+2"
"372",15,"Kirk Cousins",ATL,"QB39","5","4 out of 5 stars","-68"
"373",15,"AJ Barner",SEA,"TE52","8","4 out of 5 stars","-60"
"374",15,"Jalin Hyatt",NYG,"WR132","14","2 out of 5 stars","-17"
"375",15,"Jason Myers",SEA,"K27","8","5 out of 5 stars","-91"
"376",15,"Olamide Zaccheaus",CHI,"WR133","5","2 out of 5 stars","+34"
"377",15,"Tyrod Taylor",NYJ,"QB40","9","5 out of 5 stars","+191"
"378",15,"Chris Brooks",GB,"RB103","5","4 out of 5 stars","+168"
"379",15,"Jacob Cowing",SF,"WR134","14","4 out of 5 stars","+128"
"380",15,"New York Giants",NYG,"DST24","14","1 out of 5 stars","-162"
"381",15,"Cade Stover",HOU,"TE53","6","3 out of 5 stars","+107"
"382",15,"KeAndre Lambert-Smith",LAC,"WR135","12","3 out of 5 stars","+11"
"383",15,"LeQuint Allen Jr.",JAC,"RB104","8","2 out of 5 stars","+73"
"384",15,"Gunnar Helm",TEN,"TE54","10","3 out of 5 stars","+226"
"385",15,"Josh Whyle",TEN,"TE55","10","3 out of 5 stars","+244"
"386",15,"Raheim Sanders",LAC,"RB105","12","2 out of 5 stars","+512"
"387",15,"Jimmy Garoppolo",LAR,"QB41","8","3 out of 5 stars","+16"
"388",15,"Chris Rodriguez Jr.",WAS,"RB106","12","2 out of 5 stars","+156"
"389",15,"KhaDarel Hodge",ATL,"WR136","5","3 out of 5 stars","+198"
"390",15,"Hassan Haskins",LAC,"RB107","12","2 out of 5 stars","+84"
"391",15,"Arian Smith",NYJ,"WR137","9","4 out of 5 stars","+143"
"392",15,"Taylor Heinicke",LAC,"QB42","12","3 out of 5 stars","+256"
"393",15,"Jameis Winston",NYG,"QB43","14","1 out of 5 stars","-51"
"394",15,"Kalel Mullings",TEN,"RB108","10","2 out of 5 stars","+482"
"395",15,"Gus Edwards",FA,"RB109","-","-","-"
"396",15,"Tyler Badie",DEN,"RB110","12","2 out of 5 stars","+221"
"397",15,"Jeremy Ruckert",NYJ,"TE56","9","3 out of 5 stars","+294"
"398",15,"Mac Jones",SF,"QB44","14","4 out of 5 stars","-32"
"399",15,"Robert Woods",PIT,"WR138","5","4 out of 5 stars","-43"
"400",15,"Michael Burton",DEN,"RB111","12","2 out of 5 stars","+116"
"401",15,"Clyde Edwards-Helaire",NO,"RB112","11","4 out of 5 stars","+69"
"402",15,"Jonathan Mingo",DAL,"WR139","10","2 out of 5 stars","+77"
"403",15,"Jeremy McNichols",WAS,"RB113","12","2 out of 5 stars","+59"
"404",15,"Donovan Edwards",NYJ,"RB114","9","5 out of 5 stars","+369"
"405",15,"Zamir White",LV,"RB115","8","2 out of 5 stars","-10"
"406",15,"Malachi Corley",NYJ,"WR140","9","4 out of 5 stars","+174"
"407",15,"Joshua Dobbs",NE,"QB45","14","5 out of 5 stars","-62"
"408",15,"Elijah Higgins",ARI,"TE57","8","5 out of 5 stars","-17"
"409",15,"Van Jefferson",TEN,"WR141","10","4 out of 5 stars","+120"
"410",15,"Craig Reynolds",DET,"RB116","8","2 out of 5 stars","-43"
"411",15,"Pierre Strong Jr.",CLE,"RB117","9","4 out of 5 stars","-"
"412",15,"Chad Ryland",ARI,"K28","8","3 out of 5 stars","-95"
"413",15,"Joe Milton III",DAL,"QB46","10","2 out of 5 stars","-80"
"414",15,"Tank Dell",HOU,"WR142","6","4 out of 5 stars","-118"
"415",15,"Harrison Bryant",PHI,"TE58","9","3 out of 5 stars","+115"
"416",15,"Grant Calcaterra",PHI,"TE59","9","3 out of 5 stars","-85"
"417",15,"Ja'Lynn Polk",NE,"WR143","14","3 out of 5 stars","+105"
"418",15,"Stone Smartt",NYJ,"TE60","9","3 out of 5 stars","+280"
"419",15,"JuJu Smith-Schuster",KC,"WR144","10","3 out of 5 stars","-105"
"420",15,"Zay Jones",ARI,"WR145","8","4 out of 5 stars","+367"
"421",15,"Mason Rudolph",PIT,"QB47","5","4 out of 5 stars","+11"
"422",15,"Julius Chestnut",TEN,"RB118","10","2 out of 5 stars","+50"
"423",15,"Julian Hill",MIA,"TE61","12","3 out of 5 stars","-15"
"424",15,"Kyle Trask",TB,"QB48","9","2 out of 5 stars","+254"
"425",15,"Tanner Hudson",CIN,"TE62","10","2 out of 5 stars","-"
"426",15,"Luke Farrell",SF,"TE63","14","3 out of 5 stars","+128"
"427",15,"Mitchell Evans",CAR,"TE64","14","4 out of 5 stars","+2"
"428",15,"Jordan Watkins",SF,"WR146","14","4 out of 5 stars","+350"
"429",15,"Ameer Abdullah",SF,"RB119","14","3 out of 5 stars","+183"
"430",15,"Trey Sermon",PIT,"RB120","5","4 out of 5 stars","+181"
"431",15,"Devontez Walker",BAL,"WR147","7","3 out of 5 stars","+16"
"432",15,"Mitchell Trubisky",BUF,"QB49","7","4 out of 5 stars","-69"
